연번,구인등록일,모집기간,사업장명,모집직종,구인인원,고용형태,임금형태,임금,근무지,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장 주소,기업형태,담당기관,연락처
1,2019-07-15,2019-07-15 ~ 2019-08-16,(주)탑써비스,매장 정리원(매장 보조원),5,계약직,시급,"8,350",,무관,무관,무관,,    ,부산광역시 사상구 사상로 10-1 (주례동),중소,경기지역본부,1588-1519
2,2019-07-15,2019-07-15 ~ 2019-09-30,크린피아 유한회사,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",4,계약직,월급,"1,300,000",,무관,무관,무관,,    ,전라남도 나주시 예향로 3839-1이창동,중소,전남지사,1588-1519
3,2019-07-15,2019-07-15 ~ 2019-08-31,한국전기안전써비스(주),사무 보조원(일반사업체),2,상용직,월급,"1,745,150",,무관,무관,무관,,    ,서울특별시 송파구 송파대로32길 8(가락동),중소,한국장애인단체총연합회,1588-1519
4,2019-07-15,2019-07-15 ~ 2019-07-29,(주)재인물산,창고 관리원(자재 검수원 포함),1,상용직,월급,"2,000,000",,무관,무관,무관,,    ,서울특별시 서초구 서초중앙로29길 16그린빌딩 4층 재인물산 (반포동),중소,서초센터,1588-1519
5,2019-07-15,2019-07-15 ~ 2019-09-11,주식회사 민고트리,사진작가 및 사진사,1,상용직,월급,"1,745,150",,신입,무관,무관,,    ,서울특별시 송파구 송이로28길 23-1지하1층 (문정동),중소,서울동부고용,1588-1519
6,2019-07-15,2019-07-15 ~ 2019-09-11,주식회사 젠스타서비스,건물용 냉난방 설비 조작원,1,계약직,월급,"2,059,300",,무관,무관,무관,,    ,서울특별시 영등포구 국제금융로8길 27-8NH농협캐피탈 3층 젠스타서비스 (여의도동),중소,서울남부고용,1588-1519
7,2019-07-15,2019-07-15 ~ 2019-09-14,보고정보시스템(주),"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,상용직,시급,"8,350",,무관,무관,고졸,,    ,서울특별시 금천구 벚꽃로 286리더스타워 508호 (가산동),중소,서울관악고용,1588-1519
8,2019-07-15,2019-07-15 ~ 2019-07-30,KJ엔지니어링 주식회사,모바일 애플리케이션 프로그래머(앱·어플 개발),1,상용직,연봉,"35,000,000",,경력,3년0개월,무관,응용 소프트웨어 공학,    ,부산광역시 중구 중앙대로 88605호 KJ엔지니어링(주) (중앙동4가),중소,부산고용,1588-1519
9,2019-07-15,2019-07-15 ~ 2019-09-13,두남유통주식회사,홈페이지 자료관리원(정보검색 포함),1,상용직,월급,"2,000,000",,무관,무관,무관,,    ,부산광역시 금정구 장전로 2-1(장전동)1층2층 (장전동),중소,부산동부고용,1588-1519
10,2019-07-15,2019-07-15 ~ 2019-09-14,사상구장애인자립생활센터,사회복지사,1,계약직,월급,"1,745,150",,무관,무관,초대졸,가족·사회·복지학,사회복지사  자동차운전면허  ,부산광역시 사상구 사상로 524901호 (모라동),중소,부산북부고용센터,1588-1519
11,2019-07-15,2019-07-15 ~ 2019-08-09,(주)경비에스엔,주방 보조원,1,시간제,월급,"1,580,000",,무관,무관,무관,,    ,경상남도 창원시 마산회원구 양덕로 168경남빌딩3층 (양덕동),중소,마산고용,1588-1519
12,2019-07-15,2019-07-15 ~ 2019-08-09,(주)경비에스엔,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,파견근로,월급,"1,200,000",,무관,무관,무관,,    ,경상남도 창원시 마산회원구 양덕로 168경남빌딩3층 (양덕동),중소,마산고용,1588-1519
13,2019-07-15,2019-07-15 ~ 2019-08-07,(사)한국장애인기업협회,총무 및 일반 사무원,1,상용직,월급,"1,750,000",,무관,무관,무관,,    ,경상남도 창원시 의창구 의안로49번길 30북동공설시장 A동 1층 113호 (북동),중소,창원고용센터,1588-1519
14,2019-07-15,2019-07-15 ~ 2019-09-11,상평산업,CNC 선반 조작원(NC 선반 조작원),1,상용직,월급,"2,000,000",,무관,무관,무관,,    ,울산광역시 울주군 웅촌면 고연공단1길 16,중소,울산고용센터,1588-1519
15,2019-07-15,2019-07-15 ~ 2019-09-14,가람커뮤니케이션,시각 디자이너,1,상용직,연봉,"25,000,000",,경력,3년0개월,초대졸,시각디자인,    ,경상남도 진주시 큰들로 50,중소,진주고용,1588-1519
16,2019-07-15,2019-07-15 ~ 2019-08-31,홍익재활실버힐,시설 요양보호사(노인요양사),2,상용직,월급,"1,850,000",,무관,무관,무관,,    ,경상북도 칠곡군 북삼읍 북삼로2길 56(인평리),중소,칠곡센터,1588-1519
17,2019-07-15,2019-07-15 ~ 2019-07-30,다사장애인자립생활센터,사회복지사(사회복지시설),1,계약직,연봉,"21,000,000",,무관,무관,무관,가족·사회·복지학,사회복지사2급  사회복지사 1급  ,대구광역시 달성군 다사읍 대실역북로1길 5-12층 다사장애인자립생활센터,중소,대구달성,1588-1519
18,2019-07-15,2019-07-15 ~ 2019-08-10,신천종합관리(주),청소원,5,계약직,월급,"1,529,000",,무관,무관,무관,,    ,대구광역시 중구 동덕로 115진석타워 1503호,중소,대구고용,1588-1519
19,2019-07-15,2019-07-15 ~ 2019-08-17,효성화학,플라스틱 압출성형기 조작원,1,상용직,연봉,"33,000,000",,무관,무관,무관,,자동차운전면허1종보통    ,경상북도 영천시 천문로 642 (오미동),중소,경산센터,1588-1519
20,2019-07-15,2019-07-15 ~ 2019-08-31,세창테크,연삭기 및 연마(광택)기 조작원,2,계약직,월급,"1,800,000",,무관,0년0개월,무관,,    ,대구광역시 북구 3공단로 127-41층 (노원동3가),중소,대구강북센터,1588-1519
21,2019-07-15,2019-07-15 ~ 2019-09-13,(주)태창기술단,전기안전 기술자,1,계약직,월급,"1,200,000",,경력,2년0개월,무관,,전기산업기사  전기기사  ,대구광역시 동구 이노밸리로 40사무동 2층,중소,대구동부,1588-1519
22,2019-07-15,2019-07-15 ~ 2019-09-13,해피맘실버빌,사회복지사(사회복지시설),1,상용직,월급,"1,850,000",,경력,1년0개월,무관,,    ,경상북도 김천시 대항면 황악로 1371번지,중소,김천센터,1588-1519
23,2019-07-15,2019-07-15 ~ 2019-07-29,경상북도 김천의료원,공공행정 사무원,1,계약직,연봉,"30,000,000",,경력,5년0개월,무관,,    ,경상북도 김천시 모암길 24 (모암동),중소,김천센터,1588-1519
24,2019-07-15,2019-07-15 ~ 2019-09-14,문경시장애인단기거주시설,사회복지사(사회복지시설),1,상용직,월급,"1,800,000",,신입,무관,무관,,사회복지사2급    ,경상북도 문경시 시청2길 34 (모전동),중소,문경고용센터,1588-1519
25,2019-07-15,2019-07-15 ~ 2019-07-31,나우종합관리주식회사,경리 사무원(아파트·빌딩),1,상용직,월급,"2,000,000",,경력,1년0개월,고졸,,    ,"인천광역시 연수구 앵고개로 25070층 702-1호 (동춘동,연수메디컬빌딩) (동춘동)",중소,인천고용복지+센터,1588-1519
