EMD_NM,EMD_CD,DISABLED_NUM
가락동,11710107,1235
가리봉동,11530103,305
가산동,11545101,437
가양동,11500104,2654
가회동,11110146,97
갈현동,11170104,1250
강일동,11380104,890
개봉동,11740110,2333
개포동,11530107,648
거여동,11680103,790
고덕동,11740102,807
고척동,11530106,1424
공덕동,11440102,851
공릉동,11350103,2110
공항동,11500108,623
광장동,11215104,418
광희동1가,11140145,155
구로동,11530102,2989
구산동,11380105,988
구의동,11215103,1580
군자동,11215109,442
궁동,11530109,713
궁정동,11110103,200
금호동1가,11200109,382
금호동2가,11200110,570
금호동4가,11200112,303
길동,11740105,1138
길음동,11290134,905
남가좌동,11410120,913
남산동2가,11140129,66
남영동,11170105,302
남현동,11620103,318
내곡동,11650109,400
내발산동,11500106,873
노량진동,11590101,1055
녹번동,11380102,908
논현동,11680108,582
능동,11215102,217
답십리동,11230105,1457
당산동1가,11560111,472
당산동2가,11560112,530
대림동,11560133,1449
대방동,11590108,878
대조동,11380106,677
대치동,11680106,715
대흥동,11440108,246
도곡동,11680118,530
도림동,11560118,510
도봉동,11320108,1653
도선동,11200104,554
도화동,11440104,395
독산동,11545102,2822
돈암동,11290103,1288
동선동1가,11290116,301
둔촌동,11740106,556
등촌동,11500102,2831
마장동,11200105,667
마천동,11710114,1416
망우동,11260105,1647
망원동,11440123,926
면목동,11260101,4250
명일동,11740101,695
목동,11470102,2331
무악동,11110187,157
묵동,11260104,1384
문래동3가,11560121,575
문정동,11710108,607
미아동,11305101,3063
반포동,11650107,927
방배동,11650101,1531
방이동,11710111,878
방학동,11320106,2893
방화동,11500109,3081
번동,11305102,2463
보광동,11170136,324
보문동,11290129,345
봉천동,11620101,5487
부암동,11110184,149
북가좌동,11410119,1278
북아현동,11410110,709
불광동,11380103,1646
사근동,11200106,258
사당동,11590107,1953
사직동,11110115,170
삼각동,11140107,747
삼성동,11680105,1345
삼전동,11710106,534
삼청동,11110140,63
상계동,11350105,5046
상도1동,11590103,815
상도동,11590102,1869
상봉동,11260102,1307
상암동,11440127,618
상월곡동,11290137,658
상일동,11740103,282
서교동,11440120,362
서린동,11110123,478
서빙고동,11170133,206
서초동,11650108,1044
석관동,11290139,1035
석촌동,11710105,584
성내동,11740108,1486
성북동,11290101,298
성산동,11440125,1500
성수동1가,11200114,663
성수동2가,11200115,723
세곡동,11680111,1104
소공동,11140111,13
송정동,11200118,314
송파동,11710104,671
수색동,11380101,264
수서동,11680115,1141
수유동,11305103,2895
숭인동,11110175,416
시흥동,11545103,3218
신길동,11560132,2238
신내동,11260106,2056
신당동,11140162,1953
신대방동,11590109,874
신도림동,11530101,521
신림동,11620102,3222
신사동(강남구),11680107,1203
신사동(은평구),11380109,754
신설동,11230101,890
신수동,11440111,401
신원동,11650111,435
신월동,11470103,3658
신정동,11470101,3888
신촌동,11410114,258
쌍문동,11320105,1928
아현동,11440101,384
안암동2가,11290122,328
암사동,11740107,1546
압구정동,11680110,259
양재동,11650102,1436
양평동1가,11560125,425
양평동2가,11560126,376
여의도동,11560110,409
역삼동,11680101,823
역촌동,11380108,1222
연남동,11440124,306
연희동,11410117,787
염리동,11440109,230
염창동,11500101,623
영등포동,11560101,1165
오금동,11710112,782
오류동,11530108,1950
옥수동,11200113,439
용강동,11440105,346
용답동,11200122,380
용문동,11170121,260
용산동2가,11170102,273
우이동,11305104,601
원효로1가,11170112,251
원효로2가,11170113,249
월계동,11350102,2940
을지로3가,11140155,49
응봉동,11200108,297
응암동,11380107,1869
이문동,11230110,1081
이촌동,11170129,493
이태원동,11170130,312
이화동,11110165,192
익선동,11110133,205
일원동,11680114,1433
자양동,11215105,2087
잠실동,11710101,1745
잠원동,11650106,339
장안동,11230106,1773
장위동,11290138,1409
장지동,11710109,1185
장충동1가,11140143,125
전농동,11230104,1423
정릉동,11290133,2003
제기동,11230103,816
종암동,11290135,920
중계동,11350106,3572
중곡동,11215101,2089
중림동,11140171,294
중화동,11260103,1480
증산동,11380110,390
진관동,11380114,1102
창동,11320107,2940
창신동,11110174,679
창전동,11440114,397
천연동,11410106,447
천호동,11740109,2598
청담동,11680104,299
청량리동,11230107,776
청파동2가,11170110,424
평창동,11110183,284
풍납동,11710103,840
필동2가,11140138,85
하계동,11350104,1629
하왕십리동,11200102,379
하월곡동,11290136,587
한강로2가,11170125,283
한남동,11170131,384
합정동,11440122,330
행당동,11200107,881
혜화동,11110169,304
홍은동,11410118,1306
홍제동,11410111,1340
화곡동,11500103,5217
화양동,11215107,319
황학동,11140165,309
회기동,11230108,184
효제동,11110162,158
효창동,11170119,172
후암동,11170101,627
휘경동,11230109,941
흑석동,11590105,665
