시설명,시도명,시군구명,법정동명,위도,경도
(사)서울시지체장애인협회 은평구지회,서울특별시,은평구,신사동(강서),37.59385114,126.9132272
가락본동주민센터,서울특별시,송파구,가락동,37.495579,127.121763
가락시장역,서울특별시,송파구,가락동,37.492742,127.118484
가오리역,서울특별시,강북구,수유동,37.642384,127.016776
가온장애인자립생활센터,서울특별시,마포구,공덕동,37.54399444,126.9528366
갈현1동주민센터,서울특별시,은평구,갈현동,37.62368713,126.9166872
강남구청,서울특별시,강남구,삼성동,37.51796636,127.0470611
강남노인종합복지관,서울특별시,강남구,삼성동,37.51590994,127.0521409
강남장애인복지관,서울특별시,강남구,개포동,37.491954,127.0734687
강동구민회관,서울특별시,강동구,천호동,37.54573223,127.141221
강동구청,서울특별시,강동구,성내동,37.53016088,127.123771
강동구청역,서울특별시,강동구,풍납동,37.53067238,127.1205757
강동성심병원,서울특별시,강동구,길동,37.53615609,127.135359
강동장애인보호작업장,서울특별시,강동구,암사동,37.55430801,127.136553
강북경찰서,서울특별시,강북구,번동,37.63717057,127.0270418
강북구 보건소,서울특별시,강북구,번동,37.63188022,127.0390621
강북구장애인단체총연합회,서울특별시,강북구,수유동,37.64479193,127.0105151
강북구청,서울특별시,강북구,수유동,37.63918553,127.0254518
강북노인종합복지관,서울특별시,강북구,수유동,37.63568736,127.0187526
강북문화예술회관,서울특별시,강북구,수유동,37.64098943,127.0138774
강북장애인종합복지관,서울특별시,강북구,번동,37.6287592,127.0390695
강북장애인종합복지관,서울특별시,강북구,번동,37.6287592,127.0390695
강서뇌성마비복지관,서울특별시,강서구,방화동,37.57420788,126.8125833
강일동주민센터,서울특별시,강동구,강일동,37.56504202,127.1739063
개포1동주민센터,서울특별시,강남구,개포동,37.481904,127.057472
개포2동주민센터,서울특별시,강남구,개포동,37.4897829,127.0690748
건대입구역,서울특별시,광진구,자양동,37.54041925,127.0691712
경춘선숲길 방문자센터,서울특별시,노원구,공릉동,37.631323,127.070091
경희대학교,서울특별시,동대문구,이문동,37.5939495,127.0548902
고덕2동주민센터,서울특별시,강동구,고덕동,37.56050747,127.164328
고려대역,서울 성북구 종암로 1,성북구,종암동,37.589672,127.035916
고속버스터미널(경부선),서울특별시,서초구,반포동,37.50643547,127.0068357
고속버스터미널(센트럴시티),서울특별시,서초구,반포동,37.50393446,127.0024112
고속터미널역,서울특별시,서초구,반포동,37.50464799,127.0044424
곰두리봉사협회,서울특별시,노원구,공릉동,37.6191733,127.0810967
곰두리봉사협회 4층,서울특별시,노원구,중계동,37.6573473,127.0724425
공덕역(10번 출구),서울특별시 마포구 마포대로 92,마포구,공덕동,37.5426383,126.9518887
공덕역(5번출구),서울특별시 마포구 마포대로 100,마포구,공덕동,37.5444535,126.9511752
공릉1분회(지체장애인협회),서울특별시,노원구,공릉동,37.6299912,127.0690409
공릉2동 주민센터,서울특별시,노원구,공릉동,37.6212564,127.083378
관악구민체육센터,서울특별시,관악구,봉천동,37.473014,126.9603062
관악구민체육센터(관악구시설관리공단),서울특별시,관악구,봉천동,37.47306649,126.9603153
관악구종합청사 관악구 보건소,서울특별시 관악구 관악로 145,관악구,봉천동,37.47820977,126.9515032
관악산 무장애숲길,서울 관악구 신림동 산117-3,관악구,봉천동,37.4626176,126.9383251
광진구청,서울특별시,광진구,자양동,37.53854062,127.0819145
광진장애인회관,서울특별시,광진구,구의동,37.5460025,127.086046
구로구민체육센터,서울특별시,구로구,고척동,37.50658242,126.8532783
구로구민회관,서울특별시,구로구,구로동,37.49710368,126.8895474
구로구보건소,서울특별시,구로구,구로동,37.50010203,126.8893394
구로구시설관리공단,서울특별시,구로구,구로동,37.48987838,126.8865593
구로구청,서울특별시,구로구,구로동,37.49582991,126.8879073
구로장애인자립생활센터,서울특별시,구로구,구로동,37.49772931,126.8918534
구로조은장애인자립생활센터,서울특별시,구로구,구로동,37.48652247,126.8937149
구립동대문장애인종합복지관,서울특별시,동대문구,용두동,37.57181454,127.0340455
