EMD_CD,EMD_NM,DISABLED_NUM,SHOP_CNT,TAXI_CNT,EMPLOYEENUM,CENTER_CNT,CARD
11710107,가락동,1235.0,6,2774.0,3.0,0,3205
11530103,가리봉동,305.0,0,92.0,0.0,2,471
11545101,가산동,437.0,6,156.0,27.0,0,5397
11500104,가양동,2654.0,4,13316.0,0.0,4,1911
11110146,가회동,97.0,0,0.0,0.0,0,573
11170104,갈월동,1250.0,0,0.0,0.0,2,3540
11380104,갈현동,890.0,2,130.0,0.0,2,2208
11740110,강일동,2333.0,0,4199.0,0.0,0,729
11530107,개봉동,648.0,5,1845.0,0.0,2,3259
11680103,개포동,790.0,2,2073.0,3.0,4,734
11500110,개화동,0.0,0,0.0,0.0,1,0
11710113,거여동,0.0,1,281.0,4.0,3,1703
11110129,견지동,0.0,0,0.0,0.0,0,0
11110134,경운동,0.0,0,0.0,0.0,0,0
11110148,계동,0.0,0,0.0,1.0,0,0
11740102,고덕동,807.0,1,6269.0,0.0,3,827
11530106,고척동,1424.0,10,2955.0,0.0,0,2058
11440102,공덕동,851.0,4,308.0,1.0,0,1599
11350103,공릉동,2110.0,4,6581.0,2.0,2,5886
11110127,공평동,0.0,0,0.0,0.0,0,0
11500108,공항동,623.0,0,594.0,0.0,0,3749
11500111,과해동,0.0,0,0.0,0.0,0,0
11110155,관수동,0.0,0,0.0,0.0,0,0
11110135,관철동,0.0,0,0.0,1.0,0,0
11110128,관훈동,0.0,0,0.0,0.0,0,0
11215104,광장동,418.0,1,12.0,0.0,0,1788
11140145,광희동1가,155.0,0,375.0,0.0,0,3971
11140146,광희동2가,0.0,0,0.0,0.0,0,0
11110176,교남동,0.0,0,2400.0,0.0,0,0
11110180,교북동,0.0,0,0.0,0.0,0,0
11110182,구기동,0.0,0,0.0,0.0,0,0
11530102,구로동,2989.0,19,11321.0,6.0,2,4068
11380105,구산동,988.0,2,8256.0,0.0,8,1161
11440113,구수동,0.0,1,0.0,0.0,0,0
11215103,구의동,1580.0,8,12505.0,1.0,3,3630
11215109,군자동,442.0,1,53.0,0.0,0,2270
11530109,궁동,713.0,0,2426.0,0.0,1,1169
11110103,궁정동,200.0,0,3696.0,0.0,0,747
11110131,권농동,0.0,0,0.0,0.0,0,0
11200109,금호동1가,382.0,1,34.0,0.0,0,656
11200110,금호동2가,570.0,0,10.0,0.0,0,1217
11200111,금호동3가,0.0,2,0.0,0.0,0,0
11200112,금호동4가,303.0,0,0.0,0.0,1,798
11740105,길동,1138.0,4,5598.0,0.0,0,5828
11290134,길음동,905.0,14,5990.0,0.0,0,3929
11110137,낙원동,0.0,1,0.0,0.0,0,0
11410120,남가좌동,913.0,2,2358.0,0.0,1,1547
11140106,남대문로1가,0.0,0,0.0,0.0,0,0
11140115,남대문로2가,0.0,1,0.0,0.0,0,0
11140116,남대문로3가,0.0,0,0.0,0.0,0,0
11140117,남대문로4가,0.0,0,0.0,0.0,0,0
11140118,남대문로5가,0.0,0,0.0,1.0,0,0
11140128,남산동1가,0.0,0,0.0,0.0,1,0
11140129,남산동2가,66.0,0,1907.0,0.0,1,6745
11140130,남산동3가,0.0,0,0.0,0.0,0,0
11170105,남영동,302.0,1,1282.0,0.0,0,0
11140112,남창동,0.0,4,0.0,0.0,0,0
11140140,남학동,0.0,0,0.0,0.0,0,0
11620103,남현동,318.0,1,0.0,0.0,0,2084
11650109,내곡동,400.0,0,1885.0,0.0,2,0
11500106,내발산동,873.0,2,4427.0,0.0,0,3628
11110118,내수동,0.0,0,0.0,0.0,0,0
11110114,내자동,0.0,0,0.0,0.0,0,0
11410105,냉천동,0.0,0,0.0,0.0,0,0
11440110,노고산동,0.0,2,0.0,0.0,0,0
11590101,노량진동,1055.0,0,270.0,0.0,0,3805
11380102,녹번동,908.0,0,253.0,0.0,0,2482
11680108,논현동,582.0,9,25.0,3.0,0,6389
11110109,누상동,0.0,0,0.0,0.0,0,0
11110110,누하동,0.0,0,0.0,0.0,1,0
11215102,능동,217.0,0,76.0,0.0,1,2237
11140102,다동,0.0,0,0.0,2.0,0,0
11230105,답십리동,1457.0,2,1069.0,0.0,0,1979
11560117,당산동,0.0,0,0.0,1.0,0,0
11560111,당산동1가,472.0,1,153.0,1.0,0,0
11560112,당산동2가,530.0,1,0.0,3.0,0,0
11560113,당산동3가,0.0,1,0.0,1.0,0,5677
11560114,당산동4가,0.0,0,46.0,0.0,0,3058
11560115,당산동5가,0.0,1,0.0,0.0,0,0
11560116,당산동6가,0.0,0,0.0,0.0,0,0
11440118,당인동,0.0,0,0.0,0.0,0,0
11110117,당주동,0.0,0,0.0,2.0,0,0
11560133,대림동,1449.0,6,4661.0,0.0,0,2290
11590108,대방동,878.0,3,1240.0,3.0,0,3380
11410113,대신동,0.0,0,0.0,0.0,0,0
11380106,대조동,677.0,4,518.0,0.0,0,4446
11680106,대치동,715.0,6,270.0,6.0,0,3222
11410112,대현동,0.0,1,0.0,0.0,0,0
11440108,대흥동,246.0,1,3764.0,0.0,0,0
11680118,도곡동,530.0,2,2852.0,0.0,0,646
11110116,도렴동,0.0,0,0.0,0.0,0,0
11560118,도림동,510.0,2,51.0,0.0,1,1521
11320108,도봉동,1653.0,2,9526.0,2.0,2,2057
