,EMD_CD,EMD_NM,구인인원
0,11710107.0,가락동,3
1,11545101.0,가산동,27
2,11680103.0,개포동,3
3,11710113.0,거여동,4
4,11110148.0,계동,1
5,11440102.0,공덕동,1
6,11350103.0,공릉동,2
7,11110135.0,관철동,1
8,11530102.0,구로동,6
9,11215103.0,구의동,1
10,11140118.0,남대문로5가,1
11,11680108.0,논현동,3
12,11140102.0,다동,2
13,11560117.0,당산동,1
14,11560111.0,당산동1가,1
15,11560112.0,당산동2가,3
16,11560113.0,당산동3가,1
17,11110117.0,당주동,2
18,11590108.0,대방동,3
19,11680106.0,대치동,6
20,11320108.0,도봉동,2
21,11200104.0,도선동,1
22,11440104.0,도화동,1
23,11545102.0,독산동,4
24,11290103.0,돈암동,1
25,11440121.0,동교동,1
26,11500105.0,마곡동,13
27,11140126.0,명동1가,1
28,11560121.0,문래동3가,2
29,11710108.0,문정동,10
30,11650107.0,반포동,3
31,11710111.0,방이동,5
32,11320106.0,방학동,2
33,11290130.0,보문동1가,1
34,11620101.0,봉천동,4
35,11410119.0,북가좌동,1
36,11590107.0,사당동,1
37,11290115.0,삼선동5가,1
38,11680105.0,삼성동,18
39,11440127.0,상암동,3
40,11440120.0,서교동,1
41,11650108.0,서초동,7
42,11290139.0,석관동,1
43,11740108.0,성내동,1
44,11440125.0,성산동,2
45,11200115.0,성수동2가,2
46,11140111.0,소공동,1
47,11710104.0,송파동,2
48,11305103.0,수유동,2
49,11140168.0,순화동,8
50,11545103.0,시흥동,1
51,11140162.0,신당동,2
52,11710102.0,신천동,1
53,11320105.0,쌍문동,1
54,11740107.0,암사동,1
55,11650102.0,양재동,1
56,11560128.0,양평동4가,1
57,11560129.0,양평동5가,5
58,11560110.0,여의도동,30
59,11680101.0,역삼동,15
60,11110166.0,연건동,2
61,11650110.0,염곡동,10
62,11500101.0,염창동,1
63,11560109.0,영등포동8가,1
64,11530108.0,오류동,21
65,11305104.0,우이동,2
66,11170113.0,원효로2가,7
67,11140148.0,을지로6가,2
68,11650106.0,잠원동,3
69,11710109.0,장지동,2
70,11140167.0,정동,2
71,11230103.0,제기동,3
72,11260103.0,중화동,1
73,11740109.0,천호동,1
74,11680104.0,청담동,3
75,11170128.0,한강로3가,2
76,11170131.0,한남동,2
77,11410118.0,홍은동,3
78,11140122.0,회현동2가,6
79,,필동,1
