사업장명,모집직종,구인인원,고용형태,임금형태,임금,입사형태,요구경력,요구학력,사업장 주소,GU_NM,EMD_NM,Latitude,Longitude
이피피에스주식회사,JAVA 프로그래밍 언어 전문가,1,상용직,연봉,"33,000,000",경력,3년0개월,초대졸,서울특별시 강남구 강남대로84길 23한라클래식 3층 306호 (역삼동),강남구,역삼동,37.4971279,127.030383
(주)에스텍시스템,기타 경호·보안 종사원,2,시간제,월급,"2,200,000",신입,0년0개월,무관,서울특별시 강남구 개포로 6159층 (개포동),강남구,개포동,37.4819355,127.0574642
(주)서울커뮤니케이션,경리 사무원(일반사업체),1,상용직,연봉,"25,000,000",무관,무관,초대졸,서울특별시 강남구 논현로 404정안빌딩 3층 (역삼동),강남구,역삼동,37.4999072,127.0373932
(주)아람인테크,사업체 구내식당 급식 조리사,1,파견근로,월급,"2,050,000",무관,무관,무관,서울특별시 강남구 논현로 416운기빌딩 7층 (역삼동),강남구,역삼동,37.4974055,127.0388822
(주)아람인테크,사업체 구내식당 급식 조리사,1,파견근로,월급,"1,882,925",신입,무관,무관,서울특별시 강남구 논현로 416운기빌딩 7층 (역삼동),강남구,역삼동,37.4974055,127.0388822
(주)아람인테크,인사 사무원,2,상용직,월급,"2,100,000",신입,무관,초대졸,서울특별시 강남구 논현로 416운기빌딩 7층 (역삼동),강남구,역삼동,37.4974055,127.0388822
(주)아람인테크,사업체 구내식당 급식 조리사,1,파견근로,월급,"1,202,400",무관,무관,무관,서울특별시 강남구 논현로 416운기빌딩 7층 (역삼동),강남구,역삼동,37.4974055,127.0388822
(주)아람인테크,단체 급식 보조원,2,파견근로,월급,"2,429,850",경력,1년0개월,무관,서울특별시 강남구 논현로 416운기빌딩 7층 (역삼동),강남구,역삼동,37.4974055,127.0388822
(주)아람인테크,사업체 구내식당 급식 조리사,1,파견근로,월급,"1,202,400",무관,무관,무관,서울특별시 강남구 논현로 416운기빌딩 7층 (역삼동),강남구,역삼동,37.4974055,127.0388822
한마음데이케어센터,병원 급식 조리사,1,상용직,월급,"1,750,000",무관,무관,무관,서울특별시 강남구 논현로12길 19-42~3층 (개포동),강남구,개포동,37.4749134,127.0490828
