EMD_NM,TAXI_CNT
가락1동,5
가락본동,2769
가리봉동,92
가산동,156
가양제1동,4257
가양제2동,7467
가양제3동,1592
갈현제1동,49
갈현제2동,81
강일동,4199
개봉제1동,1762
개봉제2동,73
개봉제3동,10
개포2동,14
거여1동,165
거여2동,116
고덕제1동,6269
고척제1동,2925
고척제2동,30
공덕동,308
공릉1.3동,3784
공릉2동,2797
공항동,594
광장동,12
광희동,375
교남동,2400
구로제2동,3046
구로제3동,2258
구로제4동,30
구로제5동,5987
구산동,8256
구의제1동,489
구의제2동,11363
구의제3동,653
군자동,53
금호1가동,34
금호2.3가동,10
길동,5598
길음제1동,4886
길음제2동,1104
낙성대동,366
난곡동,20
난향동,119
남가좌제1동,265
남가좌제2동,2093
남영동,1282
내곡동,1885
노량진제1동,255
노량진제2동,15
녹번동,253
논현1동,25
능동,76
답십리제2동,5
답십리제3동,1007
답십리제4동,57
당산제1동,153
당산제2동,46
대림제1동,293
대림제3동,4368
대방동,1240
대조동,518
대치1동,114
대치2동,144
대치4동,12
대학동,22
대흥동,3764
도곡1동,2852
도림동,51
도봉제1동,446
도봉제2동,9080
도화동,73
독산제1동,3626
독산제3동,351
독산제4동,52
돈암제2동,50
동선동,48
둔촌제2동,6713
등촌제1동,66
등촌제3동,9914
마장동,3731
마천1동,11
마천2동,156
망우본동,2742
망우제3동,5
망원제1동,3406
망원제2동,523
면목본동,63
면목제2동,112
면목제3.8동,3976
면목제4동,103
면목제7동,11
명동,1907
명일제1동,2175
명일제2동,51
목1동,1545
목2동,5
목4동,92
목5동,2854
묵제1동,3152
묵제2동,65
문래동,114
문정2동,512
미성동,381
미아동,88
반포3동,56
반포4동,3010
발산제1동,4427
방배2동,144
방배4동,50
방이2동,895
방학제1동,2904
방학제2동,6
방학제3동,1086
방화제1동,10276
방화제2동,3852
방화제3동,2727
번제1동,181
번제2동,5077
번제3동,5890
보광동,12
보라매동,6911
보문동,103
부암동,25
북가좌제2동,881
북아현동,2549
불광제1동,226
불광제2동,248
사근동,1450
사당제2동,9
사당제3동,7
사당제4동,5
사직동,1058
삼각산동,2859
삼선동,953
삼성1동,1004
삼성동,323
삼양동,253
삼청동,10
상계10동,19
상계1동,5992
상계2동,6284
상계3.4동,2501
상계5동,30
상계6.7동,22930
상계9동,8
상도제1동,1105
상도제2동,333
상도제3동,16
상도제4동,6
상봉제1동,1963
상봉제2동,463
상암동,11667
상일동,6563
서강동,96
서교동,2342
서림동,60
서빙고동,691
서원동,556
서초1동,4970
서초2동,39
서초3동,765
서초4동,120
석관동,589
석촌동,77
성내제1동,37
성내제2동,90
성내제3동,59
성북동,66
성산제1동,4040
성산제2동,15886
성수1가제1동,470
성수1가제2동,35
성수2가제1동,5
성수2가제3동,24
성현동,525
세곡동,6959
소공동,62
송중동,2872
송천동,890
송파1동,12
수궁동,2426
수서동,6563
수유제1동,594
수유제2동,400
수유제3동,427
숭인제2동,42
시흥제1동,356
시흥제2동,107
시흥제4동,11
신길제1동,5
신길제3동,29
신길제4동,16
신길제5동,17
신길제6동,53
신길제7동,45
신내1동,11116
신내2동,1865
신당제1동,5
신당제3동,24
신당제4동,27
신대방제1동,487
신대방제2동,10355
신도림동,222
신림동,51
신사동,216
신사제1동,219
신설동,2197
신원동,36
신월1동,56
신월2동,4
신월3동,19
신월4동,17
신월5동,45
신월7동,11
신정2동,37
신정3동,9829
신정4동,1330
신정6동,6995
신정7동,1396
신촌동,21597
쌍문제1동,41
쌍문제2동,166
쌍문제3동,3050
쌍문제4동,61
아현동,76
안암동,2316
암사제1동,319
압구정동,245
양재1동,4341
양재2동,186
양평제1동,34
양평제2동,145
여의동,11802
역삼1동,3371
역촌동,19849
연희동,10815
염창동,277
영등포동,11922
영등포본동,79
오금동,3192
오류제2동,4636
오륜동,773
옥수동,5
왕십리도선동,4660
왕십리제2동,49
용답동,10
용두동,795
우이동,449
우장산동,2319
원효로제2동,6
월계1동,2580
월계2동,7721
월계3동,5860
월곡제1동,133
월곡제2동,2002
은천동,1887
을지로동,7
응암제1동,1231
응암제2동,3046
응암제3동,1131
이문제2동,15
이문제3동,265
이화동,11160
인수동,13272
인헌동,4
일원1동,3063
일원2동,2059
일원본동,2781
자양제1동,91
자양제2동,11
자양제3동,189
자양제4동,21
잠실2동,537
잠실3동,334
잠실6동,421
잠실7동,96
잠실본동,56
잠원동,90
장안제1동,199
장안제2동,32
