DATE,SI_NM,GU_NM,EMD_NM,TAXI_CNT
2019-01-01,서울특별시,강남구,세곡동,14
2019-01-01,서울특별시,노원구,중계2.3동,14
2019-01-01,서울특별시,노원구,하계1동,13
2019-01-01,서울특별시,강북구,번제3동,10
2019-01-01,서울특별시,강남구,수서동,10
2019-01-01,서울특별시,구로구,오류제2동,10
2019-01-01,서울특별시,서초구,양재1동,10
2019-01-01,서울특별시,영등포구,영등포동,10
2019-01-01,서울특별시,중랑구,신내1동,10
2019-01-01,서울특별시,강서구,등촌제3동,9
2019-01-01,서울특별시,서대문구,신촌동,9
2019-01-01,서울특별시,강서구,가양제1동,8
2019-01-01,서울특별시,강서구,우장산동,8
2019-01-01,서울특별시,노원구,공릉2동,8
2019-01-01,서울특별시,동대문구,신설동,8
2019-01-01,서울특별시,마포구,성산제2동,8
2019-01-01,서울특별시,성북구,삼선동,8
2019-01-01,서울특별시,송파구,풍납2동,8
2019-01-01,서울특별시,용산구,한강로동,8
2019-01-01,서울특별시,은평구,역촌동,8
2019-01-01,서울특별시,종로구,종로1.2.3.4가동,8
2019-01-01,서울특별시,중구,명동,8
2019-01-01,서울특별시,강동구,강일동,7
2019-01-01,서울특별시,강북구,송천동,7
2019-01-01,서울특별시,구로구,수궁동,7
2019-01-01,서울특별시,노원구,월계2동,7
2019-01-01,서울특별시,마포구,상암동,7
2019-01-01,서울특별시,성북구,종암동,7
2019-01-01,서울특별시,송파구,문정2동,7
2019-01-01,서울특별시,은평구,구산동,7
2019-01-01,서울특별시,중랑구,망우본동,7
2019-01-01,서울특별시,강남구,일원1동,6
2019-01-01,서울특별시,강북구,인수동,6
2019-01-01,서울특별시,관악구,서원동,6
2019-01-01,서울특별시,관악구,은천동,6
2019-01-01,서울특별시,광진구,구의제2동,6
2019-01-01,서울특별시,노원구,공릉1.3동,6
2019-01-01,서울특별시,노원구,월계3동,6
2019-01-01,서울특별시,노원구,중계4동,6
2019-01-01,서울특별시,동대문구,전농제2동,6
2019-01-01,서울특별시,서대문구,충현동,6
2019-01-01,서울특별시,송파구,잠실6동,6
2019-01-01,서울특별시,송파구,장지동,6
2019-01-01,서울특별시,양천구,목1동,6
